ID_GPS	Fecha	Xlocal	Ylocal	X	Y	Altura elipsoidal	id_suelo_raiz	Nº	Marco	COD	GLUC	FOSF	N	P	K	C	pH	COND	Arena	Limo	Arcilla
GPS0203	10/07/2016 10:01	488513,4533	4457838,943	8,1818	4,7811	764,1959	S102	102	Aleatorio	A12	0,982040266	0,485897824	0,852484601	0,157779366	0,009453992	0,942891105	8,27	74,4	40,73222478	50,52373177	8,744043454
GPS0204	10/07/2016 10:01	488511,0267	4457837,323	5,7552	3,1611	764,0736	S103	103	Aleatorio	A13	0,624208605	0,451124291	0,683725347	0,108624169	0,010472744	0,944922322	8,32	79,9	38,90641313	48,83932737	12,2542595
GPS0205	10/07/2016 10:01	488510,139	4457836,798	4,8675	2,6365	764,0208	S104	104	Aleatorio	A14	1,506909363	0,485398987	0,181280254	0,026694006	0,011825553	1,568803592	8,29	76,5	36,94130976	50,91411942	12,14457082
GPS0206	10/07/2016 10:02	488509,2498	4457836,162	3,9783	1,9999	763,971	S105	105	Aleatorio	A15	1,201857065	0,672823418	0,440432811	0,065772081	0,007288638	1,573274833	8,30	85,9	37,73859359	51,03765309	11,22375332
GPS0207	10/07/2016 10:02	488508,4239	4457835,65	3,1524	1,4881	763,9354	S106	106	Borde	B21	0,396837342	0,370287304	0,814777127	0,138206765	0,008852453	1,391965319	8,27	77,3	35,63715143	49,77335852	14,58949006
GPS0216	10/07/2016 10:04	488510,4407	4457836,769	5,1692	2,6075	764,1112	S107	107	Fino	F23	0,809334963	0,667579414	0,459860130	0,078359290	0,010537812	1,259199522	8,19	87,6	33,794214	51,53090122	14,67488478
GPS0215	10/07/2016 10:04	488510,2517	4457836,613	4,9802	2,4511	764,1245	S108	108	Fino	F24	3,339595404	1,197895540	0,172682060	0,011879472	0,010245034	1,789851510	8,19	92,6	35,98947462	50,37971311	13,63081228
GPS0214	10/07/2016 10:04	488510,0282	4457836,466	4,7567	2,3044	764,1155	S109	109	Fino	F25	4,903627798	2,205113135	1,123972902	0,109860289	0,013261881	2,709030541	8,30	144,6	37,52596559	44,11983604	18,35419837
GPS0228	10/07/2016 10:08	488514,9274	4457839,417	9,6559	5,2551	764,3326	S110	110	Regular	R49	0,809814664	0,363175176	0,382952533	0,079174370	0,011975788	0,816011855	8,37	92,0	30,70090708	54,30503281	14,99406011
GPS0227	10/07/2016 10:08	488514,1955	4457838,955	8,924	4,7928	764,3486	S111	111	Regular	R50	0,090561247	0,464185296	0,231130443	0,058454866	0,011395909	0,847202795	8,28	94,2	38,92443733	48,66582239	12,40974027
